




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	ConDec (Mus musculus )
Reference List:	pop (Mus musculus )
Test Type:	FISHER
GO biological process complete	pop - REFLIST (11651)	ConDec (892)	ConDec (expected)	ConDec (over/under)	ConDec (fold Enrichment)	ConDec (raw P-value)	ConDec (FDR)
cell morphogenesis involved in neuron differentiation (GO:0048667)	295	43	22.59	+	1.90	2.20E-04	2.07E-02
positive regulation of cell development (GO:0010720)	419	61	32.08	+	1.90	7.52E-06	1.33E-03
regulation of secretion by cell (GO:1903530)	447	65	34.22	+	1.90	3.98E-06	8.59E-04
plasma membrane bounded cell projection morphogenesis (GO:0120039)	332	48	25.42	+	1.89	9.75E-05	1.08E-02
regulation of secretion (GO:0051046)	479	69	36.67	+	1.88	3.43E-06	8.04E-04
cell projection morphogenesis (GO:0048858)	337	48	25.80	+	1.86	1.64E-04	1.64E-02
regulation of nervous system development (GO:0051960)	677	93	51.83	+	1.79	3.15E-07	1.45E-04
regulation of cell morphogenesis (GO:0022604)	372	51	28.48	+	1.79	2.21E-04	2.06E-02
cell part morphogenesis (GO:0032990)	360	49	27.56	+	1.78	2.73E-04	2.45E-02
neuron development (GO:0048666)	538	73	41.19	+	1.77	1.09E-05	1.73E-03
regulation of neurogenesis (GO:0050767)	603	80	46.17	+	1.73	7.63E-06	1.32E-03
nervous system process (GO:0050877)	502	66	38.43	+	1.72	7.50E-05	8.86E-03
cation transport (GO:0006812)	443	57	33.92	+	1.68	3.53E-04	3.03E-02
ion transport (GO:0006811)	677	87	51.83	+	1.68	8.43E-06	1.42E-03
regulation of transport (GO:0051049)	1246	158	95.39	+	1.66	2.03E-09	3.12E-06
regulation of cell development (GO:0060284)	683	86	52.29	+	1.64	2.35E-05	3.21E-03
neuron differentiation (GO:0030182)	640	80	49.00	+	1.63	5.07E-05	6.37E-03
positive regulation of cellular component organization (GO:0051130)	922	114	70.59	+	1.61	1.90E-06	5.06E-04
generation of neurons (GO:0048699)	1050	128	80.39	+	1.59	6.71E-07	2.51E-04
transmembrane transport (GO:0055085)	535	65	40.96	+	1.59	5.92E-04	4.79E-02
intracellular transport (GO:0046907)	779	94	59.64	+	1.58	3.86E-05	5.13E-03
vesicle-mediated transport (GO:0016192)	749	90	57.34	+	1.57	6.80E-05	8.10E-03
regulation of cellular localization (GO:0060341)	660	79	50.53	+	1.56	2.13E-04	2.03E-02
establishment of localization in cell (GO:0051649)	942	111	72.12	+	1.54	1.87E-05	2.75E-03
system process (GO:0003008)	765	90	58.57	+	1.54	1.40E-04	1.47E-02
positive regulation of transport (GO:0051050)	697	82	53.36	+	1.54	2.99E-04	2.63E-02
neurogenesis (GO:0022008)	1128	131	86.36	+	1.52	5.87E-06	1.18E-03
nervous system development (GO:0007399)	1507	169	115.38	+	1.46	1.13E-06	3.55E-04
transport (GO:0006810)	2256	249	172.72	+	1.44	3.00E-09	3.77E-06
cellular localization (GO:0051641)	1413	155	108.18	+	1.43	1.22E-05	1.87E-03
establishment of localization (GO:0051234)	2358	257	180.53	+	1.42	5.23E-09	6.02E-06
regulation of localization (GO:0032879)	1793	193	137.27	+	1.41	2.28E-06	5.84E-04
regulation of cellular component organization (GO:0051128)	1765	188	135.13	+	1.39	6.25E-06	1.20E-03
regulation of biological quality (GO:0065008)	2278	237	174.40	+	1.36	1.10E-06	3.70E-04
regulation of cell communication (GO:0010646)	1966	200	150.52	+	1.33	4.16E-05	5.48E-03
localization (GO:0051179)	3045	308	233.13	+	1.32	1.07E-07	5.94E-05
regulation of signaling (GO:0023051)	1982	200	151.74	+	1.32	6.52E-05	7.83E-03
signaling (GO:0023052)	2384	237	182.52	+	1.30	2.72E-05	3.68E-03
cell communication (GO:0007154)	2463	240	188.57	+	1.27	8.31E-05	9.49E-03
cellular metabolic process (GO:0044237)	5164	339	395.36	-	.86	2.36E-04	2.17E-02
primary metabolic process (GO:0044238)	5097	334	390.23	-	.86	2.63E-04	2.37E-02
organic substance metabolic process (GO:0071704)	5317	346	407.07	-	.85	7.85E-05	9.12E-03
metabolic process (GO:0008152)	5639	366	431.72	-	.85	2.17E-05	3.00E-03
nitrogen compound metabolic process (GO:0006807)	4755	297	364.04	-	.82	9.28E-06	1.49E-03
cellular macromolecule metabolic process (GO:0044260)	3643	227	278.91	-	.81	2.60E-04	2.37E-02
macromolecule metabolic process (GO:0043170)	4289	259	328.37	-	.79	2.54E-06	6.27E-04
organic substance biosynthetic process (GO:1901576)	2522	139	193.08	-	.72	1.17E-05	1.83E-03
cellular biosynthetic process (GO:0044249)	2465	135	188.72	-	.72	1.18E-05	1.84E-03
biosynthetic process (GO:0009058)	2570	140	196.76	-	.71	4.92E-06	1.03E-03
heterocycle biosynthetic process (GO:0018130)	1541	83	117.98	-	.70	6.20E-04	4.96E-02
aromatic compound biosynthetic process (GO:0019438)	1538	82	117.75	-	.70	4.17E-04	3.52E-02
organic cyclic compound biosynthetic process (GO:1901362)	1596	85	122.19	-	.70	2.88E-04	2.55E-02
nucleobase-containing compound metabolic process (GO:0006139)	2612	137	199.97	-	.69	4.34E-07	1.87E-04
cellular aromatic compound metabolic process (GO:0006725)	2708	139	207.32	-	.67	5.11E-08	3.07E-05
cellular macromolecule biosynthetic process (GO:0034645)	1974	101	151.13	-	.67	6.79E-06	1.27E-03
macromolecule biosynthetic process (GO:0009059)	1996	102	152.81	-	.67	5.95E-06	1.17E-03
organic cyclic compound metabolic process (GO:1901360)	2803	143	214.60	-	.67	1.78E-08	1.54E-05
heterocycle metabolic process (GO:0046483)	2687	137	205.72	-	.67	4.58E-08	3.01E-05
cellular nitrogen compound metabolic process (GO:0034641)	3024	154	231.52	-	.67	2.99E-09	4.14E-06
cellular nitrogen compound biosynthetic process (GO:0044271)	1855	93	142.02	-	.65	6.14E-06	1.19E-03
RNA metabolic process (GO:0016070)	1943	95	148.76	-	.64	1.13E-06	3.63E-04
nucleic acid metabolic process (GO:0090304)	2266	106	173.48	-	.61	6.95E-09	7.39E-06
gene expression (GO:0010467)	2194	102	167.97	-	.61	7.88E-09	7.78E-06
immune system process (GO:0002376)	973	40	74.49	-	.54	1.75E-05	2.60E-03
RNA processing (GO:0006396)	600	23	45.94	-	.50	3.01E-04	2.63E-02
DNA metabolic process (GO:0006259)	480	17	36.75	-	.46	4.84E-04	4.01E-02
immune response (GO:0006955)	467	15	35.75	-	.42	1.88E-04	1.83E-02
response to biotic stimulus (GO:0009607)	377	10	28.86	-	.35	1.17E-04	1.25E-02
ncRNA metabolic process (GO:0034660)	335	8	25.65	-	.31	1.10E-04	1.19E-02
response to other organism (GO:0051707)	354	8	27.10	-	.30	4.26E-05	5.55E-03
response to external biotic stimulus (GO:0043207)	355	8	27.18	-	.29	4.29E-05	5.49E-03
ncRNA processing (GO:0034470)	262	5	20.06	-	.25	1.61E-04	1.63E-02
translation (GO:0006412)	263	5	20.14	-	.25	1.61E-04	1.63E-02
organic cyclic compound catabolic process (GO:1901361)	197	3	15.08	-	.20	4.47E-04	3.74E-02
immune effector process (GO:0002252)	239	3	18.30	-	.16	3.78E-05	5.08E-03
defense response to other organism (GO:0098542)	189	2	14.47	-	.14	1.67E-04	1.66E-02
positive regulation of defense response (GO:0031349)	154	1	11.79	-	.08	2.23E-04	2.07E-02
