




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	ConInc (Mus musculus )
Reference List:	pop (Mus musculus )
Test Type:	FISHER
GO biological process complete	pop - REFLIST (11651)	ConInc (696)	ConInc (expected)	ConInc (over/under)	ConInc (fold Enrichment)	ConInc (raw P-value)	ConInc (FDR)
immune response-regulating signaling pathway (GO:0002764)	96	20	5.73	+	3.49	6.72E-06	1.22E-03
immune response (GO:0006955)	467	96	27.90	+	3.44	2.16E-23	9.94E-20
positive regulation of leukocyte differentiation (GO:1902107)	83	17	4.96	+	3.43	3.93E-05	5.49E-03
leukocyte activation involved in immune response (GO:0002366)	88	18	5.26	+	3.42	2.38E-05	3.54E-03
positive regulation of immune response (GO:0050778)	240	49	14.34	+	3.42	2.90E-12	2.86E-09
positive regulation of leukocyte migration (GO:0002687)	64	13	3.82	+	3.40	3.36E-04	2.85E-02
response to other organism (GO:0051707)	354	71	21.15	+	3.36	6.05E-17	1.67E-13
response to external biotic stimulus (GO:0043207)	355	71	21.21	+	3.35	6.89E-17	1.59E-13
cellular response to biotic stimulus (GO:0071216)	105	21	6.27	+	3.35	6.91E-06	1.24E-03
cell activation involved in immune response (GO:0002263)	91	18	5.44	+	3.31	3.51E-05	5.01E-03
defense response (GO:0006952)	533	105	31.84	+	3.30	2.59E-24	1.79E-20
response to interferon-gamma (GO:0034341)	66	13	3.94	+	3.30	4.35E-04	3.56E-02
response to lipopolysaccharide (GO:0032496)	143	28	8.54	+	3.28	3.08E-07	9.89E-05
positive regulation of innate immune response (GO:0045089)	103	20	6.15	+	3.25	1.66E-05	2.52E-03
response to biotic stimulus (GO:0009607)	377	72	22.52	+	3.20	3.45E-16	6.82E-13
response to virus (GO:0009615)	132	25	7.89	+	3.17	2.23E-06	4.75E-04
positive regulation of defense response (GO:0031349)	154	29	9.20	+	3.15	3.87E-07	1.16E-04
defense response to virus (GO:0051607)	103	19	6.15	+	3.09	4.97E-05	6.73E-03
immune effector process (GO:0002252)	239	44	14.28	+	3.08	6.98E-10	4.02E-07
positive regulation of endopeptidase activity (GO:0010950)	99	18	5.91	+	3.04	9.17E-05	1.16E-02
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	89	16	5.32	+	3.01	2.48E-04	2.32E-02
regulation of leukocyte migration (GO:0002685)	89	16	5.32	+	3.01	2.48E-04	2.30E-02
positive regulation of hemopoiesis (GO:1903708)	107	19	6.39	+	2.97	7.80E-05	1.02E-02
T cell activation (GO:0042110)	136	24	8.12	+	2.95	1.02E-05	1.74E-03
positive regulation of immune system process (GO:0002684)	426	75	25.45	+	2.95	3.68E-15	5.65E-12
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	103	18	6.15	+	2.93	1.43E-04	1.55E-02
regulation of cytokine production (GO:0001817)	341	59	20.37	+	2.90	7.33E-12	5.96E-09
regulation of immune effector process (GO:0002697)	194	33	11.59	+	2.85	4.85E-07	1.34E-04
positive regulation of response to external stimulus (GO:0032103)	147	25	8.78	+	2.85	1.18E-05	1.92E-03
positive regulation of peptidase activity (GO:0010952)	106	18	6.33	+	2.84	1.96E-04	1.95E-02
leukocyte activation (GO:0045321)	260	44	15.53	+	2.83	6.81E-09	3.14E-06
regulation of immune response (GO:0050776)	362	61	21.62	+	2.82	8.45E-12	6.49E-09
immune system process (GO:0002376)	973	161	58.12	+	2.77	6.33E-30	8.75E-26
regulation of leukocyte differentiation (GO:1902105)	158	26	9.44	+	2.75	1.33E-05	2.13E-03
regulation of innate immune response (GO:0045088)	160	26	9.56	+	2.72	1.61E-05	2.47E-03
lymphocyte activation (GO:0046649)	211	34	12.60	+	2.70	1.56E-06	3.53E-04
cell activation (GO:0001775)	324	51	19.35	+	2.63	3.98E-09	1.96E-06
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	148	23	8.84	+	2.60	1.36E-04	1.49E-02
regulation of T cell activation (GO:0050863)	161	25	9.62	+	2.60	6.45E-05	8.57E-03
regulation of immune system process (GO:0002682)	684	105	40.86	+	2.57	3.68E-17	1.27E-13
regulation of hemopoiesis (GO:1903706)	224	34	13.38	+	2.54	3.47E-06	6.86E-04
regulation of cysteine-type endopeptidase activity (GO:2000116)	146	22	8.72	+	2.52	2.43E-04	2.30E-02
regulation of endopeptidase activity (GO:0052548)	174	26	10.39	+	2.50	6.58E-05	8.66E-03
regulation of peptidase activity (GO:0052547)	209	31	12.49	+	2.48	1.38E-05	2.20E-03
regulation of leukocyte cell-cell adhesion (GO:1903037)	170	25	10.16	+	2.46	1.11E-04	1.31E-02
positive regulation of cell activation (GO:0050867)	170	25	10.16	+	2.46	1.11E-04	1.30E-02
positive regulation of DNA binding transcription factor activity (GO:0051091)	150	22	8.96	+	2.46	3.08E-04	2.69E-02
cellular response to cytokine stimulus (GO:0071345)	378	55	22.58	+	2.44	1.37E-08	5.72E-06
regulation of lymphocyte activation (GO:0051249)	227	33	13.56	+	2.43	1.41E-05	2.21E-03
regulation of cell activation (GO:0050865)	296	43	17.68	+	2.43	5.16E-07	1.37E-04
regulation of leukocyte activation (GO:0002694)	272	39	16.25	+	2.40	2.37E-06	4.97E-04
regulation of defense response (GO:0031347)	314	45	18.76	+	2.40	5.30E-07	1.38E-04
response to cytokine (GO:0034097)	438	61	26.16	+	2.33	7.93E-09	3.54E-06
hemopoiesis (GO:0030097)	356	49	21.27	+	2.30	4.37E-07	1.26E-04
positive regulation of cell adhesion (GO:0045785)	242	33	14.46	+	2.28	4.77E-05	6.53E-03
leukocyte differentiation (GO:0002521)	187	25	11.17	+	2.24	4.29E-04	3.53E-02
regulation of multi-organism process (GO:0043900)	225	30	13.44	+	2.23	1.49E-04	1.59E-02
regulation of actin cytoskeleton organization (GO:0032956)	231	30	13.80	+	2.17	1.92E-04	1.95E-02
hematopoietic or lymphoid organ development (GO:0048534)	393	51	23.48	+	2.17	1.51E-06	3.61E-04
immune system development (GO:0002520)	414	52	24.73	+	2.10	2.72E-06	5.52E-04
regulation of cell-cell adhesion (GO:0022407)	232	29	13.86	+	2.09	5.44E-04	4.23E-02
response to external stimulus (GO:0009605)	893	110	53.35	+	2.06	5.13E-12	4.43E-09
positive regulation of cell migration (GO:0030335)	307	37	18.34	+	2.02	1.87E-04	1.91E-02
regulation of response to external stimulus (GO:0032101)	395	47	23.60	+	1.99	3.21E-05	4.72E-03
positive regulation of hydrolase activity (GO:0051345)	345	41	20.61	+	1.99	1.08E-04	1.30E-02
positive regulation of cell motility (GO:2000147)	315	37	18.82	+	1.97	2.35E-04	2.27E-02
regulation of protein complex assembly (GO:0043254)	292	34	17.44	+	1.95	5.46E-04	4.19E-02
positive regulation of cellular component movement (GO:0051272)	327	38	19.53	+	1.95	2.90E-04	2.59E-02
regulation of cell adhesion (GO:0030155)	427	49	25.51	+	1.92	4.06E-05	5.62E-03
multi-organism process (GO:0051704)	936	105	55.91	+	1.88	2.39E-09	1.22E-06
response to lipid (GO:0033993)	368	41	21.98	+	1.87	2.91E-04	2.58E-02
regulation of proteolysis (GO:0030162)	427	46	25.51	+	1.80	3.22E-04	2.75E-02
cell migration (GO:0016477)	486	52	29.03	+	1.79	1.18E-04	1.35E-02
positive regulation of response to stimulus (GO:0048584)	1184	125	70.73	+	1.77	1.78E-09	9.46E-07
positive regulation of cell proliferation (GO:0008284)	554	58	33.09	+	1.75	9.56E-05	1.19E-02
cellular response to organic substance (GO:0071310)	1109	116	66.25	+	1.75	1.45E-08	5.88E-06
cellular response to chemical stimulus (GO:0070887)	1373	143	82.02	+	1.74	1.97E-10	1.30E-07
locomotion (GO:0040011)	673	69	40.20	+	1.72	3.49E-05	5.02E-03
response to organic substance (GO:0010033)	1450	147	86.62	+	1.70	5.31E-10	3.34E-07
positive regulation of catalytic activity (GO:0043085)	725	73	43.31	+	1.69	3.27E-05	4.75E-03
response to stress (GO:0006950)	1768	177	105.62	+	1.68	1.42E-11	1.03E-08
localization of cell (GO:0051674)	542	54	32.38	+	1.67	5.00E-04	3.95E-02
cell motility (GO:0048870)	542	54	32.38	+	1.67	5.00E-04	3.92E-02
regulation of hydrolase activity (GO:0051336)	604	60	36.08	+	1.66	2.56E-04	2.36E-02
response to oxygen-containing compound (GO:1901700)	730	71	43.61	+	1.63	1.29E-04	1.44E-02
positive regulation of molecular function (GO:0044093)	961	93	57.41	+	1.62	9.86E-06	1.70E-03
positive regulation of multicellular organismal process (GO:0051240)	1039	100	62.07	+	1.61	5.55E-06	1.02E-03
response to chemical (GO:0042221)	1964	188	117.32	+	1.60	9.28E-11	6.41E-08
regulation of response to stress (GO:0080134)	763	73	45.58	+	1.60	1.75E-04	1.81E-02
intracellular signal transduction (GO:0035556)	900	86	53.76	+	1.60	3.71E-05	5.24E-03
positive regulation of signal transduction (GO:0009967)	904	84	54.00	+	1.56	1.27E-04	1.43E-02
regulation of cell proliferation (GO:0042127)	988	90	59.02	+	1.52	1.33E-04	1.47E-02
regulation of programmed cell death (GO:0043067)	1030	90	61.53	+	1.46	5.06E-04	3.95E-02
regulation of catalytic activity (GO:0050790)	1191	103	71.15	+	1.45	2.68E-04	2.42E-02
regulation of response to stimulus (GO:0048583)	2209	189	131.96	+	1.43	3.39E-07	1.04E-04
response to stimulus (GO:0050896)	3977	337	237.58	+	1.42	6.56E-14	8.24E-11
regulation of molecular function (GO:0065009)	1611	132	96.24	+	1.37	2.62E-04	2.38E-02
regulation of multicellular organismal process (GO:0051239)	1797	147	107.35	+	1.37	1.10E-04	1.31E-02
cellular response to stimulus (GO:0051716)	3218	262	192.23	+	1.36	2.57E-08	1.02E-05
positive regulation of biological process (GO:0048518)	3616	287	216.01	+	1.33	4.38E-08	1.64E-05
signal transduction (GO:0007165)	2164	170	129.27	+	1.32	2.19E-04	2.14E-02
positive regulation of cellular process (GO:0048522)	3293	256	196.72	+	1.30	2.46E-06	5.08E-04
multicellular organismal process (GO:0032501)	3586	261	214.22	+	1.22	2.44E-04	2.30E-02
RNA processing (GO:0006396)	600	16	35.84	-	.45	3.14E-04	2.73E-02
modulation of chemical synaptic transmission (GO:0050804)	282	4	16.85	-	.24	4.08E-04	3.40E-02
regulation of trans-synaptic signaling (GO:0099177)	282	4	16.85	-	.24	4.08E-04	3.38E-02
regulation of synaptic plasticity (GO:0048167)	155	0	9.26	-	 < 0.01	2.79E-04	2.50E-02
